brand_name,product_name,price,love_num,product_type_1,product_type_2,product_type_3,description,reviews,ratings,recommend,five_stars,four_stars,three_stars,two_stars,one_star
INNISFREE,Green Tea Hydration Set,price_error,7K,NA,NA,NA,"What it is: A set of daily hydration essentials infused with green tea to replenish skin with moisture and help protect it from environmental stressors.

Skin Type: Normal, Dry, Combination, and Oily

Dryness, Dullness, and Uneven Texture

Serum


- Jeju Green Tea Extract: Replenishes hydration.
- Jeju Green Tea Seed Oil: Helps skin retain moisture.
- Panthenol: Helps strengthen skin’s moisture barrier.

Free of sulfates SLS and SLES, parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, triclosan, and triclocarban. This product also comes in recyclable packaging.

Quench dry skin with a balanced blend of green tea and green tea seed oil grown on Innisfree's USDA-certified organic (Control Union Certifications CUC) fields on Jeju Island, Korea. Packed with amino acids and antioxidants, this gel serum provides a nourishing surge of hydration, leaving skin soft, smooth, and glowing.


- 2.7 oz/ 80 mL Intensive Hydrating Serum with Green Tea Seed
- 0.67 oz/ 20 mL Intensive Hydrating Cream with Green Tea Seed
- 0.67 oz/ 20 mL Hydrating Sleeping Mask with Green Tea",8 reviews,NA,NA,0,0,0,0,0
INNISFREE,Super Volcanic Clusters Pore Clearing Clay Mask,price_error,14.2K,NA,NA,NA,"What it is: A deep-cleansing creamy clay mask—formulated with absorbent Jeju Super Volcanic Clusters™ and AHA—that helps clear pores while it exfoliates.

Skin Type: Normal, Combination, and Oily

Pores, Oiliness, Dullness, and uneven texture

Mask


- Jeju Volcanic Clusters™: Finely ground hardened volcanic lava that helps absorb excess sebum.
- Lactic Acid: Helps exfoliate dead skin cells and minimize appearance of pores.

Free of sulfates SLS and SLES, parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, triclosan, and triclocarban, and contains less than one percent of synthetic fragrances. This product comes in recyclable packaging.

Exfoliate and purify pores with this volcanic clay mask. AHA helps remove dead skin cells, while Super Volcanic Clusters™ from Jeju Island, Korea help draw excess oils and impurities from pores—for skin that feels cleaner and smoother and pores that appear smaller.

Based on the results of a 2018 independent clinical study of 31 Korean women between 20 to 40 years old:
- 90% reported a reduction in excessive oil and sebum after use
- 90% reported that their skin felt cleaner after use
- 90% reported that their complexion looked better after use",133 reviews,NA,NA,0,0,0,0,0
INNISFREE,Orchid Youth-Enriched Eye Cream,price_error,2.9K,NA,NA,NA,"What it is: A richly-nourishing eye cream that targets early signs of aging with Jeju orchid and naturally-derived hyaluronic acid for a bright-eyed glow.

Skin Type: Normal, Dry, Combination, and Oily

Loss of Firmness and Elasticity, Fine Lines and Wrinkles, and Dryness

Cream


- Orchid Elixir 2.0™: Helps visibly firm the look of skin and protect from environmental stressors.
- Hyaluronic Acid: Natural hydrator from Jeju green soybeans

Free of sulfates SLS and SLES, parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, triclosan, and triclocarban. This product comes in recyclable packaging.

Target the first signs of aging with this multitasking eye cream. It supports a look of skin strength, firmness, and smoothness, and also nurtures the delicate skin around the eyes. It’s made with an antioxidant-rich orchid from Jeju Island, South Korea.",17 reviews,NA,NA,0,0,0,0,0
INNISFREE,Green Tea Seed Intensive Hydrating Cream,price_error,3.3K,NA,NA,NA,"What it is: A daily moisturizer infused with a blend of Jeju green tea and green tea seed oil to leave skin feeling quenched with intense hydration.

Skin Type: Normal, Dry, Combination, and Oily

Dryness and Dark Circles

Cream


- Jeju Green Tea Extract: Replenishes hydration.
- Jeju Green Tea Seed Oil: Nurtures and helps skin retain moisture.
- Panthenol: Helps strengthen skin's moisture barrier.

Free of sulfates SLS and SLES, parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, triclosan, and triclocarban. This product comes in recyclable packaging.

Smooth on this nourishing cream to replenish and help seal in moisture with green tea and green tea seed oil grown on Innisfree's USDA-certified organic (Control Union Certifications CUC) fields on Jeju Island, Korea. Packed with amino acids and antioxidants, it helps boost skin's hydration and shield it from environmental stressors.",17 reviews,NA,NA,0,0,0,0,0
INNISFREE,Green Tea Moisture-Balancing Toner,price_error,3.3K,NA,NA,NA,"What it is: A refreshing watery-gel toner that replenishes skin with lightweight hydration from Jeju green tea.

Skin Type: Combination and Oily

Oiliness and Dryness

Lightweight Gel


- Jeju Green Tea Extract: Replenishes hydration.
- Betaine: Amino acid that helps balance hydration and oil levels.

Free of sulfates SLS and SLES, parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, triclosan, and triclocarban. This product also comes in recyclable packaging.

Apply this quick-absorbing toner after cleansing to help balance skin's hydration and oil levels. Ideal for hydrating oily and combination skin types, without the shine, it is formulated with green tea grown and harvested on innisfree's USDA-certified organic (Control Union Certifications CUC) fields in Jeju Island, Korea.",12 reviews,NA,NA,0,0,0,0,0
INNISFREE,Fermented Soybean Firming Energy Essence,price_error,5.2K,NA,NA,NA,"What it is: A hydrating essence that helps visibly improve the skin's firmness, brightness, tone, smoothness, dewiness and moisture barrier.

Skin Type: Normal, Dry, Combination, and Oily

Loss of Firmness and Elasticity, Dryness, Dullness, and Uneven Texture

Lightweight Serum


- Fermented Soybean Extract: Antioxidant-rich, anti-aging concentrate that helps lift and firm the appearance of the skin.
- Fermented Soybean Oil: Full of essential amino acids to help nourish and strengthen the skin's moisture barrier to leave the skin feeling smoother.
- Oat Kernel Extract: Helps to soften and soothe the appearance of the skin.

Free of sulfates SLS and SLES, parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, triclosan, and triclocarban, and contains less than one percent of synthetic fragrances. This product comes in recyclable packaging.

The first step in your skin care routine, this essence helps create the perfect canvas for makeup application. The skin looks firmer, smoother, dewier, more radiant, and even-toned after use. This product is formulated with high concentrations of antioxidant-rich fermented soybean extract and oil harvested on innisfree's USDA-certified organic (Control Union Certifications CUC) fields on Jeju Island, Korea.",21 reviews,NA,NA,0,0,0,0,0
INNISFREE,Green Tea Seed Intensive Hydrating Serum,price_error,6.7K,NA,NA,NA,"What it is: A lightweight hydrating serum with Jeju green tea that helps replenish skin with moisture and protect it from environmental stressors.

Skin Type: Normal, Dry, Combination, and Oily

Dryness, Dullness and uneven texture

Lightweight serum


- Jeju Green Tea Extract: Replenishes hydration.
- Jeju Green Tea Seed Oil: Nurtures and helps skin retain moisture.
- Panthenol: Helps strengthen skin's moisture barrier.

Free of sulfates SLS and SLES, parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, triclosan, and triclocarban. This product comes in recyclable packaging.

Quench dry skin with a balanced blend of green tea and green tea seed oil grown on Innisfree's USDA-certified organic (Control Union Certifications CUC) fields on Jeju Island, Korea. Packed with amino acids and antioxidants, this gel-serum provides a nourishing surge of hydration, leaving skin soft, smooth and glowing.",588 reviews,NA,NA,0,0,0,0,0
INNISFREE,Green Tea Seed Intensive Hydrating Eye Cream,price_error,2.6K,NA,NA,NA,"What it is: A silky eye cream infused with Jeju green tea extract and green tea seed oil to target dryness around the eyes with intense hydration.

Skin Type: Normal, Dry, Combination, and Oily

Dryness and Dark circles

Cream


- Jeju Green Tea Extract: Replenishes hydration.
- Jeju Green Tea Seed Oil: Nurtures and helps skin retain moisture.
- Panthenol: Helps strengthen skin's moisture barrier.

Free of sulfates SLS and SLES, parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, triclosan, and triclocarban. This product comes in recyclable packaging.

Customized just for the delicate eye area, this nourishing eye cream instantly replenishes and helps lock in moisture with antioxidant-rich green tea and green tea seed oil grown and harvested on innisfree's USDA-certified organic (Control Union Certifications CUC) fields on Jeju Island, Korea.",11 reviews,NA,NA,0,0,0,0,0
INNISFREE,Orchid Youth Glow Set,price_error,2.9K,NA,NA,NA,"What it is: A set of early-action essentials that help boost hydration, visibly firm skin, and brighten skin's appearance to bring out a youthful glow.

Skin Type: Normal, Dry, Combination, and Oily

Loss of Firmness and Elasticity, Dryness, and Dullness and Uneven Texture

Cream


- Jeju Green Tea Extract: Replenishes hydration.
- Orchid Elixir 2.0™: Antioxidant-rich orchid extracts that help visibly firm and protect from environmental stressors.
- Tangerine Peel Extract: Helps brighten and even out complexion.

Free of sulfates SLS and SLES, parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, triclosan, and triclocarban. This product is also comes in recyclable packaging.

This set—infused with skin-loving ingredients from Jeju Island—is an easy-to-use K-beauty routine that includes a moisture-replenishing serum, an early-action daily cream, and an overnight mask that visibly brightens skin. This trio delivers holiday-ready glowing skin every day.


- 1.69 oz/ 50 mL Youth-enriched Cream with Orchid
- 1.01 oz/ 30 mL Intensive Hydrating Serum with Green Tea Seed
- 0.67 oz/ 20 mL Brightening and Pore-Caring Sleeping Mask",6 reviews,NA,NA,0,0,0,0,0
INNISFREE,Orchid Youth-Enriched Gel Cream,price_error,2K,NA,NA,NA,"What it is: A daily gel-cream that offers lightweight hydration, and targets early signs of aging with Jeju orchid, naturally-derived hyaluronic acid, and beta glucan.

Skin Type: Combination and Oily

Loss of Firmness and Elasticity, Fine Lines and Wrinkles, and Oiliness

Gel


- Orchid Elixir 2.0™: Helps visibly firm the look of skin and protect from environmental stressors.
- Hyaluronic Acid: Natural hydrator from Jeju green soybeans.

Free of sulfates SLS and SLES, parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, triclosan, and triclocarban. This product comes in recyclable packaging.

Target the first signs of aging with this multitasking, lightweight gel-cream that quenches skin with hydration while supporting a look of firmness, elasticity, and tone. It’s made with an antioxidant-rich orchid from Jeju Island, South Korea.",6 reviews,NA,NA,0,0,0,0,0
